10th Avenue,40.76655,-73.9904301,40.7671785,-73.989977
West 30th Street,40.7523807,-74.0018083,40.7520514,-74.0010078
West 18th Street,40.7434275,-74.0034933,40.742254,-74.000703
West Drive,40.7878399,-73.9673095,40.7878747,-73.9674915
Lexington Avenue,40.7871716,-73.949982,40.7865321,-73.9504398
West 225th Street,40.8750344,-73.9122641,40.8749502,-73.9119797
The High Line,40.7423441,-74.0076926,40.7422075,-74.0077441
East Drive,40.7816368,-73.962741,40.781662,-73.9625931
97th Street Transverse,40.7886831,-73.9563248,40.788589,-73.9563028
Amsterdam Avenue,40.8252298,-73.947602,40.8259011,-73.9471053
7th Avenue,40.8274285,-73.9349167,40.8272539,-73.934981
East 92nd Street,40.785344,-73.957636,40.7846666,-73.9560335
West Drive,40.7928071,-73.9619064,40.7926027,-73.9620221
Trans-Manhattan Expressway,40.8463647,-73.9324528,40.8461309,-73.9318949
FDR Drive,40.7821571,-73.9443876,40.7824499,-73.9443205
West 146th Street,40.827083,-73.9499093,40.8259011,-73.9471053
3rd Avenue,40.7595777,-73.9680243,40.7602554,-73.9675327
East 31st Street,40.745861,-73.984344,40.746536,-73.985949
Sherman Avenue,40.866315,-73.918596,40.866813,-73.917205
FDR Drive,40.7552738,-73.9615374,40.755179,-73.9616842
Park Terrace East,40.8696318,-73.9183124,40.8696066,-73.9183093
East 80th Street,40.7749623,-73.9568014,40.7740155,-73.9545593
Pearl Street,40.7035187,-74.0115825,40.703413,-74.0118185
West 58th Street,40.7650275,-73.9766802,40.7639334,-73.974111
Columbus Avenue,40.7698413,-73.9843207,40.769218,-73.984769
East River Greenway,40.7225065,-73.9741055,40.7222301,-73.9741753
Lenox Avenue,40.8027,-73.949187,40.803331,-73.948728
Pitt Street,40.717181,-73.983104,40.71829,-73.982477
Cherry Street,40.710911,-73.992029,40.7108885,-73.9921971
5th Avenue,40.792347,-73.952522,40.791722,-73.952984
West 81st Street,40.7833521,-73.9747104,40.7833208,-73.9746586
Park Avenue,40.7755683,-73.9603834,40.7762614,-73.9598777
Harlem River Drive,40.8364592,-73.9345154,40.8382331,-73.9334951
Frawley Circle,40.7971081,-73.949054,40.7971216,-73.9490851
West Drive,40.78955,-73.964146,40.789505,-73.964148
Payson Avenue,40.8687506,-73.9234754,40.8687911,-73.9235074
5th Avenue,40.815326,-73.935756,40.815277,-73.9357896
Harlem River Drive,40.8327577,-73.9351849,40.8330759,-73.9352106
Morningside Drive,40.8019265,-73.9610286,40.8035932,-73.9604484
General Worth Square,40.7428331,-73.9888375,40.7429063,-73.9890038
9th Avenue,40.7628594,-73.9894019,40.762233,-73.9898583
Riverside Drive,40.831621,-73.949582,40.83186,-73.949575
Central Park Driveway; West Drive,40.7708149,-73.9784675,40.770732,-73.9785767
East 93rd Street,40.7813075,-73.9461373,40.7823112,-73.9485053
2nd Avenue,40.7479204,-73.973591,40.747296,-73.974044
Astor Place,40.7298,-73.9907433,40.7297499,-73.9903661
East 116th Street,40.7993598,-73.9433813,40.7992437,-73.9431074
10th Avenue,40.865109,-73.918447,40.8655852,-73.9181211
East 84th Street,40.7802227,-73.9613747,40.779542,-73.959774
Walker Street,40.718309,-74.001831,40.717932,-74.000988
Park Avenue,40.8012994,-73.9419693,40.8006715,-73.9424264
Greene Street,40.73035,-73.994822,40.7312837,-73.9940304
3rd Avenue,40.7851944,-73.9493317,40.7858567,-73.9488449
Brooklyn Bridge Promenade,40.7096091,-74.0012935,40.7090906,-74.0006152
car parking,40.7575506,-73.9952843,40.7576125,-73.9951854
Park Terrace West,40.8692341,-73.9199475,40.8692783,-73.9199257
8th Avenue,40.7647769,-73.984294,40.7654138,-73.9838251
