40.737548,-74.00483,Abingdon Square,8th Avenue
40.7397433,-74.0025294,8th Avenue,West 14th Street
40.7316623,-74.0066501,Barrow Street,Hudson Street
40.7268543,-73.9999795,West Broadway,West Houston Street
40.7317702,-74.0011543,West 4th Street,Cornelia Street
40.7298505,-74.0107417,West Street,Clarkson Street
40.7327152,-73.9938332,University Place,East 10th Street
40.7394098,-74.0054268,Gansevoort Street,Hudson Street
40.7346785,-73.9999956,West 10th Street,Greenwich Avenue
40.7365041,-74.0010569,Greenwich Avenue,West 11th Street
40.7337144,-74.0016021,Grove Street,Waverly Place
40.7302131,-74.0068848,Leroy Street,Hudson Street
40.7287446,-74.0071236,West Houston Street,Hudson Street
40.7293036,-73.9979021,Laguardia Place,West 3rd Street
40.726964,-73.9998883,West Broadway,West Houston Street
40.7347791,-74.0084767,Perry St,Washington Street
40.727586,-74.0014587,Sullivan Street,West Houston Street
40.728581,-74.0053426,West Houston Street,Varick Street
40.7306947,-73.9955548,Waverly Place,Washington Square East
40.7331237,-74.0102094,West Street,West 10th Street
40.7375515,-74.0098349,West Street,West 12th Street
40.7291148,-74.0105919,West Houston Street,West Street
40.7191409,-73.9905582,Allen Street,Delancey Street
40.717581,-73.9858384,Clinton Street,Williamsburg Bridge
40.7199459,-73.9787082,Avenue D,East Houston Street
40.7159157,-73.9789376,Lewis Street,Delancey Street
40.7186876,-73.9890616,Ludlow Street,Delancey Street
40.7207367,-73.9812657,Avenue C,East Houston Street
40.7138795,-73.9799929,Grand Street,Lewis Street
40.7126009,-73.990028,Madison Street,Rutgers Street
40.7207032,-73.9861567,Norfolk Street,Stanton Street
40.7239048,-73.987982,1st Avenue,East 2nd Street
40.7263735,-73.9861809,1st Avenue,East 6th Street
40.7275748,-73.9853065,1st Avenue,Saint Marks Place
40.730363,-73.9863812,East 11th Street,2nd Avenue
40.7316417,-73.9854495,2nd Avenue,East 13th Street
40.7354071,-73.9826846,East 19th Street,2nd Avenue
40.7319508,-73.9881446,East 12th Street,3rd Avenue
40.7297042,-73.9808523,Avenue A,East 13th Street
40.7229588,-73.9857604,Avenue A,East 2nd Street
40.7254486,-73.983968,Avenue A,East 6th Street
40.7222466,-73.9862782,Essex Street,East Houston Street
40.7287453,-73.9785306,East 13th Street,Avenue B
40.724692,-73.978413,East 8th Street,Avenue C
40.7207367,-73.9812657,Avenue C,East Houston Street
40.7199459,-73.9787082,Avenue D,East Houston Street
40.7263337,-73.9917406,The Bowery,East 3rd Street
40.7278228,-73.9931707,Lafayette Street,East 4th Street
40.729464,-73.989086,Stuyvesant Street,East 9th Street
40.7481925,-74.0074174,West 22nd Street,11th Avenue
40.739881,-73.998713,7th Avenue,West 16th Street
40.740444,-74.002019,West 15th Street,8th Avenue
40.7472041,-73.9970975,West 26th Street,8th Avenue
40.7408486,-74.0051628,Hudson Street,West 14th Street
40.7416627,-74.0049708,West 15th Street,9th Avenue
40.7440493,-74.003174,West 19th Street,9th Avenue
40.7446392,-74.0027306,West 20th Street,9th Avenue
40.7465055,-74.0013705,West 23rd Street,9th Avenue
40.713173,-73.978181,Grand Street,FDR Drive
40.713173,-73.978181,Grand Street,FDR Drive
40.713173,-73.978181,Grand Street,FDR Drive
40.7332426,-73.9811772,1st Avenue,East 17th Street
40.7344133,-73.980327,1st Avenue,East 19th Street
40.7400154,-73.976246,1st Avenue,East 28th Street
40.7323264,-73.9849539,2nd Avenue,East 14th Street
40.734834,-73.9831142,East 18th Street,2nd Avenue
40.7378794,-73.98092,East 23rd Street,2nd Avenue
40.7385442,-73.9804458,East 24th Street,2nd Avenue
40.7391612,-73.9799758,2nd Avenue,East 25th Street
40.7416321,-73.9781691,East 29th Street,2nd Avenue
40.7339733,-73.9866954,3rd Avenue,East 15th Street
40.7357748,-73.9853714,3rd Avenue,East 18th Street
40.7363627,-73.9849523,3rd Avenue,East 19th Street
40.7407145,-73.9817606,3rd Avenue,East 26th Street
40.7344163,-73.9899024,4th Avenue,East 14th Street
40.7366894,-73.9931526,West 15th Street,5th Avenue
40.7373163,-73.9926676,5th Avenue,West 16th Street
40.7379049,-73.9922319,5th Avenue,West 17th Street
40.7402522,-73.9905273,5th Avenue,East 21st Street
40.743444,-73.9882085,5th Avenue,West 26th Street
40.7440656,-73.987754,West 27th Street,5th Avenue
