574,Lincoln Street,30th Avenue
575,80th Avenue,Burnside Street
576,Powell Boulevard,10th Avenue
577,Hancock Street,16th Avenue
578,Schmeer Road,Whitaker Road
579,Powell Boulevard,111th Avenue
580,Yamhill Street,38th Avenue
581,Moody Avenue,River Parkway
582,4th Avenue,Stark Street
583,Killingsworth Street,34th Avenue
584,Hoyt Street,19th Avenue
585,Couch Street,17th Avenue
586,Vancouver Avenue,Graham Street
587,Tillamook Street,43rd Avenue
588,Rosa Parks,Willamette Boulevard
589,Vancouver Avenue,Knott Street
590,Division Street,105th Avenue
591,Couch Street,15th Avenue
592,Skidmore Street,Garfield Avenue
593,Burnside Street,9th Avenue
594,Richmond Avenue,Lombard Street
595,Willamette Boulevard,Bryant Street
596,Sandy Boulevard,35th Avenue
597,17th Avenue,Everett Street
598,10th Avenue,Hawthorne Boulevard
599,Madison Street,Broadway
600,Morrison Street,9th Avenue
601,Couch Street,Broadway
602,Hawthorne Boulevard,6th Avenue
603,Main Street,2nd Avenue
604,Morrison Street,20th Avenue
605,Vancouver Avenue,Graham Street
606,Barbur Boulevard,Capitol Hill
607,50th Avenue,Madison Street
608,Powell Boulevard,74th Avenue
609,Couch Street,Broadway
610,72nd Avenue,Ramona Street
611,Cully Boulevard,Prescott Street
612,Interstate Avenue,Interstate Place
613,Holgate Boulevard,37th Avenue
614,Broadway,Vancouver Avenue
615,15th Avenue,14th Avenue
616,Harding Avenue,Interstate Avenue
617,Canyon Court,61st Drive
618,Broadway,Oak Street
619,Yamhill Street,69th Avenue
620,96th Avenue,Washington Street
621,6th Avenue,Terwilliger Boulevard
622,1st Avenue,Bridge
623,Wasco Street,82nd Avenue
624,Woodstock Boulevard,86th Avenue
625,Division Street,90th Avenue
626,Tibbetts Street,26th Avenue
627,Broadway,22nd Avenue
628,Irving Street,12th Avenue
629,10; OR,Barbur Boulevard
630,Prescott Street,Cully Boulevard
631,Corridor,Holgate Boulevard
632,Division Street,34th Avenue
633,Barbur Boulevard,Terwilliger Boulevard
634,Broadway,1st Avenue
635,Flanders Street,Broadway
636,Failing Street,Martin Luther
637,Buffalo Street,Martin Luther
638,Clinton Street,52nd Avenue
639,Division Street,101st Avenue
640,Airport Way,Ainsworth Circle
641,McLoughlin Boulevard,17th Avenue
642,128th Avenue,Glisan Street
643,Belmont Street,49th Avenue
644,Station Way,Lovejoy Street
645,Cleveland Avenue,Bryant Street
646,92nd Avenue,Flavel Street
647,Taylors Ferry,Terwilliger Boulevard
648,Taylor Street,Cesar E
649,Morrison Street,7th Avenue
650,Powell Boulevard,74th Avenue
651,Woods Street,Barbur Boulevard
652,Foster Road,74th Avenue
653,Milwaukie Avenue,Franklin Street
654,62nd Avenue,Broadway
655,Halsey Street,53rd Avenue
656,Killingsworth Street,75th Avenue
657,Yamhill Street,Water Avenue
658,Killingsworth Street,33rd Avenue
659,Rose Garden,Wright Avenue
660,82nd Avenue,Division Street
661,Hancock Street,82nd Avenue
662,Powell Boulevard,77th Avenue
663,86th Avenue,Powell Boulevard
664,122nd Avenue,120th Avenue
665,Stark Street,30th Avenue
666,29th Avenue,Yamhill Street
667,Thompson Street,50th Avenue
668,Lombard Street,Vancouver Avenue
669,122nd Avenue,122nd Avenue
670,69th Avenue,Garden Home
671,Broadway,Alder Street
672,Lombard Street,Interstate Avenue
673,Mitchell Street,82nd Avenue
674,148th Avenue,148th Avenue
675,Stark Street,90th Avenue
676,Alder Street,6th Avenue
677,Broadway,Burnside Street
678,Knott Street,7th Avenue
679,105th Avenue,Alderwood Road
680,Fremont Street,Cleveland Avenue
681,Division Street,92nd Avenue
682,Raymond Street,64th Avenue
683,45th Avenue,Multnomah Boulevard
684,77th Avenue,Foster Road
685,Broadway,7th Avenue
686,Vermont Street,Capitol Highway
687,Harney Street,74th Avenue
688,Foster Road,71st Avenue
689,Killingsworth Street,Sandy Boulevard
690,Hawthorne Boulevard,32nd Place
691,Milwaukie Avenue,Glenwood Street
692,Killingsworth Street,42nd Avenue
693,Powell Boulevard,162nd Avenue
694,Barbur Boulevard,Bertha Boulevard
695,Dosch Road,Flower Terrace
696,120th Avenue,122nd Avenue
697,McClellan Street,Brandon Avenue
698,Columbia Street,5th Avenue
699,Multnomah Street,7th Avenue
700,Stark Street,Grand Avenue
701,2nd Avenue,Burnside Street
702,Couch Street,Grand Avenue
703,Sumner Street,24th Avenue
704,Broadway,1st Avenue
705,6th Avenue,Terwilliger Boulevard
706,Knott Street,Interstate Avenue
707,Division Street,158th Avenue
708,11th Avenue,Hawthorne Boulevard
709,Dekum Street,Grand Avenue
710,Columbia Street,4th Avenue
711,36th Avenue,Tillamook Street
712,Interstate Avenue,Greeley Avenue
713,Couch Street,10th Avenue
714,Stark Street,102nd Avenue
715,23rd Avenue,Salmon Street
716,47th Avenue,Multnomah Street
717,Martin Luther,Gultch Corridor
718,15th Avenue,Prescott Street
719,Powell Boulevard,70th Avenue
720,Yamhill Street,Naito Parkway
721,Salmon Street,8th Avenue
722,Multnomah Street,Wheeler Avenue
723,Foster Road,101st Avenue
724,Everett Street,9th Avenue
725,Going Street,8th Avenue
726,86th Avenue,Bush Street
727,Greeley Avenue,Rosa Parks
728,Benton Avenue,Broadway
729,Vermont Street,Capitol Highway
730,Broadway,1st Avenue
731,Madison Street,2nd Avenue
732,Hawthorne Boulevard,16th Avenue
733,7th Avenue,Belmont Street
734,Overton Street,15th Avenue
735,Columbia Boulevard,Vancouver Avenue
736,Couch Street,Broadway
737,Glisan Street,80th Avenue
738,Steele Street,Cesar E
739,Lombard Street,15th Avenue
740,7th Avenue,Morrison Street
741,Vancouver Avenue,Graham Street
742,60th Avenue,H. Banfield
743,Pittsburg Avenue,Portland Willamette
744,Hancock Street,53rd Avenue
745,Powell Boulevard,26th Avenue
746,Prescott Street,115th Avenue
747,11th Avenue,Hawthorne Boulevard
748,Killingsworth Street,Commercial Avenue
749,Madison Street,2nd Avenue
750,Victoria Avenue,Broadway
751,Flanders Street,19th Avenue
752,Peninsular Avenue,Trenton Street
753,Foster Road,131st Avenue
754,Shaver Street,122nd Avenue
755,Madison Street,11th Avenue
756,Division Street,168th Avenue
757,Broadway,26th Avenue
758,Alberta Street,Martin Luther
759,Ankeny Street,18th Avenue
760,Taylor Street,11th Avenue
761,Vancouver Avenue,Knott Street
762,Insley Street,72nd Avenue
763,12th Avenue,Sherman Street
764,92nd Avenue,Harold Street
765,Tibbetts Street,38th Avenue
766,Burnside Street,King Avenue
767,162nd Avenue,Stark Street
768,Salmon Street,7th Avenue
769,100th Avenue,Halsey Street
770,Division Street,137th Avenue
771,Division Street,31st Avenue
772,Jefferson Street,Naito Parkway
773,Sherman Street,32nd Avenue
774,Oak Street,Broadway
775,Salmon Street,14th Avenue
776,Highland Parkway,Upland Drive
777,Rosa Parks,Mississippi Avenue
778,6th Avenue,Morrison Street
779,Rodney Avenue,Graham Street
780,Commercial Avenue,Alberta Street
781,Fremont Street,Vancouver Avenue
782,Woodstock Boulevard,49th Avenue
783,Burnside Street,Grand Avenue
784,Fremont Street,Rodney Avenue
785,Holgate Boulevard,52nd Avenue
786,Grand Avenue,Pacific Street
787,Weidler Street,Victoria Avenue
788,Burnside Street,81st Avenue
789,Going Street,Cleveland Avenue
790,7th Avenue,Hawthorne Boulevard
791,Burnside Street,Saint Clair
792,Washington Street,9th Avenue
793,Glisan Street,111th Avenue
794,Ivanhoe Street,John Avenue
795,Hoyt Street,Broadway
796,Clay Street,2nd Avenue
797,7th Avenue,Hawthorne Boulevard
798,Broadway,7th Avenue
799,Wygant Street,Cully Boulevard
800,Market Street,4th Avenue
801,Williams Avenue,Broadway
802,Fremont Street,Rodney Avenue
803,Fremont Street,122nd Avenue
804,Belmont Street,43rd Avenue
805,Everett Street,Broadway
806,Skidmore Street,Interstate Avenue
807,Wall Avenue,Lombard Street
808,Burlingame Avenue,Capitol Highway
809,Prescott Street,80th Avenue
810,Johnson Creek,Corridor
811,Foster Road,83rd Avenue
812,Prescott Street,102nd Avenue
813,Knott Street,Martin Luther
814,Thompson Street,40th Avenue
815,Couch Street,12th Avenue
816,Division Street,Corridor
817,Johnson Street,16th Avenue
818,Thompson Street,Interstate Avenue
819,Cesar E,Laddington Court
820,Prescott Street,9th Avenue
821,Argyle Street,Brandon Avenue
822,Lincoln Street,30th Avenue
823,Holgate Boulevard,83rd Avenue
824,Tenino Street,Tacoma Street
825,9th Avenue,Irving Street
826,Everett Street,5th Avenue
827,Irving Street,16th Avenue
828,52nd Avenue,Clinton Street
829,Yamhill Street,1st Avenue
830,Yamhill Street,Grand Avenue
831,Lombard Street,Vancouver Avenue
832,Terwilliger Boulevard,Condor Lane
